objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
wlc043,https://www.leg.state.nv.us/Statutes/26th1913/Stats191301.html#Stats191301page40,,,"Artesian Wells, 1913 Nev. Stat. 40",,1913-03-07,An Act to provide a law for the conservation of underground waters in the State of Nevada; provided for the casing and capping of artesian wells; and providing a penalty for the violation of the provisions of such act.,underground;wells;beneficial use,,,,1913 Statutes of Nevada,,Historical Statute,record,,,
wlc044,https://www.leg.state.nv.us/Statutes/26th1913/Stats191302.html#Stats191302page256,,,"Permits for Water When Point of Diversion is Outside the State of Nevada, 1913 Nev. Stat. 256",,1913-03-22,"An Act relating to the issuance of permits for the appropriation of water, where the works or any part thereof to be constructed under such permits or the point of diversion or place of intended use, or any part thereof are situated without the State of Nevada.",appropriation,,,,1913 Statutes of Nevada,,Historical Statute,record,,,
wlc045,https://www.leg.state.nv.us/Statutes/26th1913/Stats191302.html#Stats191302page257,,,"Measurement of Water on Irrigated Lands, 1913 Nev. Stat. 257",,1913-03-22,"An Act to provide for the measurement of water used on irrigation areas, the determination of the losses from irrigating ditches and the remedies therefor, and a study of the evaporation losses and the remedies therefor, and a study of the best methods of distributing and applying water in growing crops in the State of Nevada, in cooperation with the United States department of agriculture, the Nevada agricultural experiment station, and the state engineer.",irrigation;ditches;investigation,,,,1913 Statutes of Nevada,,Historical Statute,record,,,
wlc046,https://www.leg.state.nv.us/Statutes/26th1913/Stats191302.html#Stats191302page261,,,"Investigation of Water Resources in Cooperation with U.S. Geological Survey, 1913 Nev. Stat. 261",,1913-03-22,"An Act to provide for the investigation of the water resources of the State of Nevada in cooperation with the United States geological survey, and to make an appropriation for the expense of such investigations.",investigation,,,,1913 Statutes of Nevada,,Historical Statute,record,,,
wlc047,https://www.leg.state.nv.us/Statutes/26th1913/Stats191303.html#Stats191303page461,,,"Petition for Drainage District, 1913 Nev. Stat. 461",,1913-03-31,"An Act to provide for the organization and government of drainage districts and to provide for the acquisition, repair and development of canals, drains, ditches, watercourses and other property, and for the distribution of water thereby for drainage purposes, and to provide for the levying of taxes and for the issuing and sale of bonds thereof.",canals;drains;ditches,,,,1913 Statutes of Nevada,,Historical Statute,record,,,
wlc0481,wlc0481.pdf,,,"Van Sickle v. Haynes, 7 Nev. 249",,1872-01,"The water appropriator sought damages for the landowner's diversion of water from a creek that flowed over the property of the landowner, but not over the land of the water appropriator. The water appropriator had diverted a portion of the water from the creek before the United States awarded the land patent to the landowner. The lower court found that the water appropriator had an interest in the water that was protected in equity. The landowner appealed, and the court reversed. The court held that: (1) running water was an incident to the soil over which it naturally flowed; (2) the right of the riparian proprietor did not depend upon the appropriation of the water by him to any special purpose, but was a right incident to his ownership of the land to have the water flow in its natural course and condition, subject only to those changes that were occasioned by the use by proprietors above him; and (3) the government patent to the landowner conveyed not only the land, but also the stream naturally flowing through it.",appropriation;riparian;streams;rivers;creek,"Douglas County, NV",38.95065691,-119.7682203,7 Nev. 249,,Case Law,application/pdf,,,
wlc0491,wlc0491.pdf,,,"Barnes v. Sabron, 10 Nev. 230",,1875-07,"The farmer alleged that the diversion of water from a creek had deprived him of sufficient water to irrigate his crops. The court held that the farmer, as the first appropriator of the waters of the creek, had the right to take the water flowing therein, during the irrigation season, for his reasonable use and enjoyment to the full extent of his original appropriation and beneficial use. The court determined that the creek was a natural watercourse and surface stream and that the trial court's findings to the contrary were without substantial support in the testimony. The court held that even if the farmer was negligent in allowing his tenants to use more water than was necessary to irrigate their crops, he could recover at least nominal damages and costs, with a decree for equitable relief.",irrigation;appropriation;creek;springs;ditches;beneficial use,"Nye County, NV",38.11862807,-116.4113373,10 Nev. 230,,Case Law,application/pdf,,,
wlc0501,wlc0501.pdf,,,"Jones v. Adams, 19 Nev. 78",,1885-04,"The trial court held that appellant and respondent were the owners, respectively, by rights of appropriation and use, of seven-tenths part and three-tenths part of the water flowing from a particular stream. The court, after granting appellant's motion for a rehearing, affirmed. Had the principles of common law in relation to riparian rights been applied, both appellant and respondent would have been allowed a reasonable use of the water. Thus, if the judgment had been rendered upon the common law principles of riparian rights, it would have been at least as favorable to respondent as the judgment was now. The trial court did not err, however, when it instead applied the principle of prior appropriation pursuant to U.S. Rev. Stat. § 2339, § 9 (1866) in rendering judgment. The purpose of the statute was to give the sanction of the government to possessory rights acquired under local customs, laws, and decisions of the courts. The statute was a voluntary recognition of a preexisting right of possession and its continued use, rather than the establishment of a new right. The court overruled Vansickle v. Haines, 7 Nev. 249 (1872) to the extent it conflicted with the court's holding.",streams;appropriation;irrigation;ditches;riparian,"Douglas County, NV",38.95065691,-119.7682203,19 Nev. 78,,Case Law,application/pdf,,,
wlc0511,wlc0511.pdf,,,"Ormsby County v. Kearney, 37 Nev. 314",,1914-07,"This case involved the constitutionality of certain provisions of the water law. The claimants contended that the state engineer did not have the right or authority to hear or determine any matter related to the appropriation of the water and that the provisions authorizing the state engineer to determine the rights of water appropriators were unconstitutional. After reviewing the questioned provisions of said act, this court concluded that the act did not violate the due process of law provisions of the state or federal constitutions. The act, however, did not authorize and empower the state engineer to adjudicate and determine the right, title, and interest of complainants to the use of the water. It did authorize the state engineer to investigate and determine the relative rights of water appropriators or users upon any stream or stream system.",appropriation;vested rights;streams;irrigation,"Carson City, NV",39.164722,-119.776389,37 Nev. 314,,Case Law,application/pdf,,,
wlc0521,wlc0521.pdf,,,"Lobdell v. Simpson, 2 Nev. 274",,1866-07,"The lower riparian occupant seemed to have relied solely upon his prior appropriation of the waters of a creek. No rights by virtue of his riparian proprietorship seemed to have been claimed. On appeal, the court held that as the main issue raised by the pleadings was priority of appropriation, the trial court erred in refusing to instruct the jury, as requested by the upper riparian owners, that the lower riparian occupant was not entitled to any greater quantity of the water of the creek than he actually appropriated prior to the upper riparian owners' appropriation. The court stated that the evidence in the case not having been brought up, it was unable to determine what the rights of the upper riparian owners were but that if the facts existed as set forth in the answer, the upper riparian owners had a right to maintain the dam and ditch complained of by the lower riparian occupant by which they diverted the water from the natural channel of the creek as they found it at the time of their location.",appropriation;streams;creek;ditches;dams;riparian;prior appropriation,"Esmerelda County, NV",37.71485,-117.675605,2 Nevv. 274,,Case Law,application/pdf,,,
wlc0531,wlc0531.pdf,,,"Carson City v. Eastate of Lompa, 88 Nev. 541",,1972-10,"Water rightrs may be sold, condemned or leased. ",appropriation;acquired rights;diversion;prior appropriation;,"Carson City, NV",39.164722,-119.776389,88 Nev. 541,,Case Law,application/pdf,,,
wlc0541,wlc0541.pdf,,,"Application of Filippini, 66 Nev. 17",,1949-01,"The applicant sought approval to appropriate certain waters and the protester objected. After the application was granted, the protester filed an action against the state engineer and the applicant. The trial court dismissed the action and the protester appealed. The court ordered the matter remanded to the trial court, holding that the state had the constitutional power to control and regulate public waters. The Water Act of 1913 (Act) provided the method for appropriating water and the means for determining the water users' rights. Any vested water rights which were impaired by the Act were excluded from its operation. Adverse use of water rights was wholly unwarranted, unnecessary, and dangerous to the appropriation and distribution of public property, the water rights. A potential water user was no longer able to acquire water rights by adverse possession. The Act also established the procedures for obtaining water rights; power was in the state engineer to determine preexisting rights and distributing new ones. There were several factual questions which needed to be answered, however, including the question of what the protester's prior water rights may have been.",appropriation;acquired rights;beneficial use;diversion;streams;vested rights;,"Eureka County, NV",40.19443229,-116.376643,66 Nev. 17,,Case Law,application/pdf,,,
wlc0551,wlc0551.pdf,,,"G&M Properties v. Second Judicial Dist. Court, 95 Nev. 301",,1979-05,"The state engineer made a determination of the rights of various claimants to certain waters within the county. The other claimants did not filed an exception to the determination. The state engineer notified all parties of a scheduled date for a hearing on objections filed by certain claimants, which was to occur on March 31, 1977, and advised that all exceptions had to be filed five days prior thereto, pursuant to Nev. Rev. Stat. § 533.170. The other claimants did not file a notice challenging the determination. The hearing was reset for July 10, 1978, and the state engineer notified all parties of the new hearing date. On the date of the hearing, the other claimants filed exceptions for the first time. Respondent allowed the late filing and granted the other claimants discovery. Petitioners filed for a writ of prohibition asserting that respondent was without jurisdiction to consider the tardy claims. The court granted the writ, holding that the requirements of § 533.170 were mandatory and jurisdictional. In that the other claimants failed to file their exceptions within the required time under § 533.170, respondent had no jurisdiction to consider the",NRS 533.170;vested rights;permited rights,"Washoe County, NV",39.29923806,-119.8705246,95 Nev. 301,,Case Law,application/pdf,,,
wlc0561,wlc0561.pdf,,,"Revert v. Ray, 95 Nev. 782",,1979-11,"The springs in question were on land originally owned by a squatter who sold his rights to the local water, light and power company, which abandoned the land some years later. In the meantime, the landowners claimed their grantors acquired vested rights in the land by adverse possession. When the claimants filed their application, the landowners opposed, but the state engineer held there was substantial evidence to support a finding that the land was public land and it failed to address the landowners' claim of adverse possession. The district court accepted the state engineer's post-review brief and affirmed its findings. The landowners asserted that the district court erred in concluding there was sufficient evidence to support the ruling. The court reversed and remanded to the state engineer for a full and fair determination of the landowners' adverse possession claim because the court held that while the evidence amply supported a finding of abandonment, the state engineer did err in not addressing the adverse possession claim and the district court erred in affirming the decision.",springs;revert;abandonment;vested rights;NRS 533.450,"Nye County, NV",38.11862807,-116.4113373,95 Nev. 782,,Case Law,application/pdf,,,
wlc0571,wlc0571.pdf,,,"Pyramid Lake Paiute Tribe of Indians v. Washoe County, 112 Nev. 743",,1996-06,"The Nevada county entered an agreement with groundwater importers to import groundwater from a basin on the California and Nevada border to local areas. The county and the groundwater importer petitioned the state engineer's office for transfer applications to modify or add groundwater rights. The applications were granted, and the Indian tribe and the California county appealed, claiming that the state engineer failed to determine whether the applications were detrimental to the public interest. The district court agreed, and remanded the case. The state engineer provided public interest guidelines and concluded that the importation served the public interest. The Indian tribe and the California county challenged the findings, and the district court affirmed. The Indian tribe and the California county appealed. The court affirmed, holding that the state engineer properly defined the meaning of ""the public interest"" within his authority under Nev. Rev. Stat. 533.370(3) and that the failure to include economic considerations or an analysis of possible alternatives was not a dereliction of duty. The court also found that the findings were based upon substantial evidence.",public interest;appropriation;beneficial use;groundwater;NRS 533.370;NRS 533.030,"Washoe County, NV",39.9735522,-119.4871139,112 Nev. 743,,Case Law,application/pdf,,,
wlc058,wlc058.pdf,,,"Conter v. Herschel, 24 Nev. 152",,1897-10,"The deed holder contended that a grantor and the possessor were the owners and in possession of property as tenants in common. While the grantor and the possessor were so the owners and in possession, the grantor conveyed to the deed holder all his right, title, and interest in and to said property by deed of gift. The court held that the district court properly found against the deed holder. The district court found that the deed holder had no right, title, or interest in the other lands described in the complaint. The deed holder had no right, title, or interest in any of the personal property. She was not entitled to partition of other lands or the personal property. The deed holder was not entitled to an accounting. The deed of gift was received by the deed holder under an agreement and understanding that the grantor retained possession of the property and enjoyed the use thereof and its proceeds for his living and expenses during his life or so long as he desired to do so. The deed holder never questioned the grantor's right of possession and enjoyment of the personal property.",possessory right;deed of gift;deed holder,"Humboldt County, NV",40.81467416,-115.7636066,24 Nev. 152,,Case Law,application/pdf,,,
wlc059,wlc059.pdf,,,"Pacific Live Stock Co. v. Malone, State Engineer, 53 Nev. 118",,1931-01-02,"A district court adjudicated the respective rights of the company and others to draw or divert water from a river. Thereafter, the company petitioned for an alternative writ of mandate to compel the Engineer to take control of the river for the purpose of enforcing the district court's decree. The company claimed that certain parties were not complying with the terms of the decree. The Engineer demurred to the petition. The court sustained the demurrer, holding that the company's petition did not set forth sufficient facts to constitute a cause of action or to justify the granting of any relief. The court determined that the decree was an equity judgment between several users on the river and not a statutory adjudication of the parties' rights pursuant to the Nevada water law of 1913. Further, the court determined that the Engineer's statutory duties were special in nature and were restricted to cases wherein water rights were determined under the water law. Further, the court found that the Engineer's duties could not be judicially expanded. Accordingly, the court concluded that the Engineer's authority could not be invoked to administer the decree of the district court.",streams;livestock;rivers,"Humboldt County, NV",40.81467416,-115.7636066,53 Nev. 118,,Case Law,application/pdf,,,
wlc060,wlc060.pdf,,,"Itcaina v. Marble, 56 Nev. 420",,1936-03-05,"The cattle rancher complained that the sheep rancher had made an illegal incursion on public lands to which the cattle rancher held preeminent rights and sought to enjoin the sheep rancher from interfering with them. The trial court entered a temporary injunction that restrained the sheep rancher from using the disputed grazing land but reserved a way over the land to permit the sheep rancher to cross the affected range. On appeal, the court affirmed because the injunction was supported by the evidence that showed long established used by the cattle rancher, which brought the range within the protective ambit of the 1925 stock-watering law, 1925 Nev. Stat. 201, and the 1931 Nevada Grazing Act, 1931 Nev. Stat. 226, which specifically authorized injunctive relief as a proper application of the state's police power.",livestock;creek;watering;public use,"Elko County, NV",41.46260989,-115.2968077,56 Nev. 420,,Case Law,application/pdf,,,
wlc061,wlc061.pdf,,,"Conserv. Dist. v. Press Brick Co., 58 Nev. 164",,1937-11-05,"The company's application was based upon the company's contention that the land at issue would not have benefitted by certain improvements contemplated by the district. The trial court granted the company's application to exclude the land, and the district appealed. The court held that the company failed to meet its burden of proving by a fair preponderance of the evidence that the district's upstream storage project would not have directly benefitted the company's land. The court found that the company's land was not being used for the manufacture of clay products, and would probably not be so used for at least 10-12 years. The court determined that it was not necessary for the company to go to any considerable expense to irrigate the land because a neighboring farmer had offered to allow the company to carry water through his ditch for a small consideration, which offer was sufficiently definite and certain to insure the company's having an inexpensive right of way to carry water to its land. The court concluded that as there was no evidence that the land's clay content would be damaged by irrigation, the company was not entitled to have the land excluded from the district.",ditches;irrigation;storage;reservoirs;rivers,"Washoe County, NV",39.9735522,-119.4871139,58 Nev. 164,,Case Law,application/pdf,,,
wlc062,wlc062.pdf,,,"Brooks v. Dewar, et al., 60 Nev. 219",,1940-10-24,"Congress passed the Taylor Grazing Act, 43 U.S.C.S. § 8A, which authorized the Secretary to establish grazing districts. The Secretary was also authorized to establish reasonable fees for permits to graze livestock on the grazing districts. In accordance with rules promulgated by the director of grazing the grazers obtained temporary licenses, which did not require a license fee. The director of grazing later promulgated another rule that required the grazers to pay a fee of five cents per month for each head of cattle and one cent per month for each head of sheep, in order to obtain a license. The grazers filed suit and sought to enjoin the director of grazing and the Secretary from enforcing the rules because the grazers believed the fees were unreasonable. The district court denied the demurrer of the director of grazing and entered a default judgment for the grazers when the director of grazing refused to replead. On appeal, the court affirmed and held that: (1) the Secretary was not an indispensable party to the case; and (2) the grazing fees, although uniform throughout the United States, were not reasonable and other factors should have been taken into consideration.",livestock;grazing land;public use;renewal,"Washoe County, NV",39.9735522,-119.4871139,60 Nev. 219,,Case Law,application/pdf,,,
wlc063,wlc063.pdf,,,"In re Waters of Manse Spring, 60 Nev. 280",,1940-12-18,"Respondents filed a petition to determine rights in and to the waters of a spring and its tributaries. Appellant filed a notice of exceptions to the determination of the state engineer. The matter was heard and submitted to the trial court for decision. The trial court filed findings and decisions in favor of respondents and denied appellant's motion for a new trial. Appellant contended that the right to the waters of the spring was lost by nonuse pursuant to Nev. Comp. Laws § 7897 (1929) and that the waters were subject to appropriation by him. Respondents argued that five years' nonuse as defined by § 7897 did no more than to shift the burden of proof as to abandonment and that abandonment, as opposed to forfeiture, had to obtain in order to cause the loss of a water right. The court agreed with the trial court that rights acquired before 1913 could only be lost in accordance with the law in existence at the time of enactment of the Water Law, namely, intentional abandonment. The trial court found that there was no abandonment of the waters of the spring by respondents' predecessors in interest, and there was substantial evidence in the record upon which to base such a finding.",abandonment;appropriation;irrigation;vested rights;beneficial use,"Nye County, NV",38.11862807,-116.4113373,60 Nev. 280,,Case Law,application/pdf,,,
wlc064,wlc064.pdf,,,"Esmeralda Waters v. Mackley, 66 Nev. 261",,1949-07-25,"After engaging in the mining and extraction of ores from certain lode mining claims, the mill's predecessors deposited about 7,000 tons of tailings from said operations into a pond located upon open and unoccupied federal mineral land. As such, the tailings were preserved until it would be worthwhile for them to be sold. Thereafter, the subsequent locators moved the tailings elsewhere. The mill brought an action to quiet title. The trial court found in favor of the subsequent locators. The mill sought review. The court affirmed in part and reversed in part, holding that there was ample testimony to justify the trial court's conclusion that the land upon which the tailings pond was situated had become forfeited by the mill, was subject to re-entry, and was properly relocated by the subsequent locators. Thus, the subsequent locators had valid placer mining claims to the tailings. However, because there was no evidence that the mill intended to abandon the tailings, the court held that the mill had a superior claim to the tailings pond. Thus, the subsequent locators' placer mining claims were inferior to the mill's ownership and right to possess the tailings.",abandonment;reservoirs;mining,"Mineral County, NV",38.688254,-118.693706,66 Nev. 261,,Case Law,application/pdf,,,
wlc065,wlc065.pdf,,,"Chappellet v. Birbeck, 72 Nev. 126",,1956-05-03,"The parties entered into an agricultural lease in which the lessee agreed to install an irrigation system and was to use the premises for agricultural purposes if there was sufficient water to do so. The lessee terminated the lease on the ground of insufficient water and never installed the irrigation works. The lessors filed suit for damages claiming a breach of the lease and seeking damages for the stipulated rental and failure to install the irrigation works. The trial court found that there was insufficient water, that the lessee properly terminated the lease, but that the lessee was liable for damages with regard to the irrigation works. The court affirmed the cancellation of the lease, but reversed as to the irrigation works. The court held that it was proper to receive evidence as to the extent of water applicable to the lessors' water right at the point of diversion and that such evidence supported the finding of insufficiency. The court found that it was neither logical nor realistic to conclude that the failure to install and operate the irrigation works was an independent covenant entitling the lessors to damages.",irrigation;ditches;underground water,"Washoe County, NV",39.9735522,-119.4871139,72 Nev. 126,,Case Law,application/pdf,,,
wlc066,wlc066.pdf,,,"Zolezzi v. Jackson, 72 Nev. 150",,1956-05-31,"The neighbors purchased their property from the owners under a deed that conveyed the land together with all appurtenances to the land, without expressly granting or excluding water rights. The owners, who retained ownership of the adjoining premises, denied that the deed conveyed any water rights to the neighbors. The trial court held that water rights appurtenant to the land passed to the neighbors under the deed and issued an order enjoining the owners from interfering with such rights. On appeal, the court affirmed the trial court's order. The court held that : 1) the neighbors' water right was acquired by use prior to the enactment of the state's first water act, 1889 Nev. Stat. 113, which expressly provided that it did not impair or abridge any rights already vested; 2) water rights had long been appurtenant to the land in arid Nevada; 3) the owners' intent not to convey water rights to the neighbors was not a mutual mistake mandating reformation of the deed; and 4) the fact that the neighbors paid for the property and accepted the deed after the owners notified them that no water passed with the land was without equitable significance in the absence of waiver or estoppel.",irrigation;vested rights;no water,"Washoe County, NV",39.9735522,-119.4871139,72 Nev. 150,,Case Law,application/pdf,,,
wlc067,wlc067.pdf,,,"Ansolabehere v. Laborde, 73 Nev. 93",,1957-04-25,"Plaintiff filed a complaint against defendant that was predicated upon the 1925 Stockwatering Act, Nev. Rev. Stat. §§ 533.485-533.510 (1925). Plaintiff claimed that he owned and was entitled to the use for stockwatering purposes of certain water rights. Plaintiff alleged that defendant violated the terms of the stockwatering act by watering on more than one occasion more than 50 head of his livestock without the right to do so. Plaintiff sought an injunction to enjoin defendant from trespassing upon and interfering with plaintiff's water rights, which the trial court granted. Defendant sought review and the court held that defendant's contention that the Taylor Grazing Act, 43 U.S.C.S. § 315 et seq., superseded and rendered ineffective the features of the 1925 Stockwatering Act that had to do with the control of grazing rights or privileges should have been sustained. The court held that the features of the state statute governing the grazing use of the public lands were superseded and rendered ineffective by the enactment by Congress of what was known as the Taylor Grazing Act. The trial court had erred in granting an injunction against defendant.",grazing land;livestock;watering;springs;vested rights;beneficial use;NRS 533.485;NRS 533.510,"Lander County, NV",40.044874,-117.048375,73 Nev. 93,,Case Law,application/pdf,,,
wlc068,wlc068.pdf,,,"Snow v. Pioneer Title Ins. Co., 84 Nev. 480",,1968-08-01,"A partnership night club was located on the property of one partner. After the partnership was dissolved, the night club was conveyed to a new owner under an agreement that included the right to drill a water well on the former partner's adjacent land. The adjacent land was subsequently sold and recorded, however, the water right agreement was not recorded until later. After several conveyances, the successor purchased the adjacent land, but the insurer's title policy did not make reference to the water right agreement. The successor brought an action against the insurer for the alleged loss in land value by reason of the corporation's water right. The lower court entered judgment for the corporation and insurer. The court affirmed the lower court's decision because the water right agreement was outside the chain of title; thus, the insurer had no duty to make good any damages to the successor. Further, the existence of a well and pipelines on the successor's property provided the successor with constructive notice of the agreement. Finally, the court determined that a ""well"" was the method of obtaining water, and did not limit the corporation's water right to one particular well.",wells;acquired rights;underground water,"Washoe County, NV",39.9735522,-119.4871139,84 Nev. 480,,Case Law,application/pdf,,,
wlc069,wlc069.pdf,,,"Heffern v. Vernarecci, 92 Nev. 68",,1976-01-28,"The seller owned a ranch that had previously been ranches one and two. The buyers submitted an offer for ranch one, but substituted an adjoining 40-acre parcel on ranch two that had water rights attaching, in place of a 40-acre parcel on ranch one. An offer was prepared and submitted. The seller signed and returned it, noting that it was acceptable with her initialed changes. The initialed changes were significant. The counter offer was not accepted by the buyers, and they submitted another offer containing a precise description of the property they wished to purchase and providing for payment of the balance of the purchase price on a yearly rather than a monthly basis. The seller never accepted that final counteroffer, and the buyers sued for specific performance. The trial court found for the buyers. The court found that the parties never reached an agreement upon the precise property to be sold nor upon the manner in which the balance of the purchase price was to be paid. Concluding that because essential terms of the buyers' proposal were accepted with qualifications, an agreement was not made, the court held that the buyers were not entitled to specific performance.",acre feet;wells,"Lyon County, NV",39.224819,-119.250342,92 Nev. 68,,Case Law,application/pdf,,,
wlc070,wlc070.pdf,,,"Nevada Industrial Comm'n v. Reese, 93 Nev. 115",,1977-03-09,"Respondents, dissatisfied claimants of benefits under the Nevada Industrial Insurance Act, Nev. Rev. Stat. § 616, commenced an original action to challenge the constitutionality of amendments to the Nevada Industrial Insurance Act. The trial court held that certain sections of the amendments were unconstitutional because they violated the separation of powers doctrine of Nev. Const. art. 6, § 1. The NIC appealed. The court found that the adjudicatory powers granted to the NIC appeals officer were quasi-judicial in nature. The court reasoned that judicial powers could be conferred upon administrative agencies without bringing the legislation that grants such power into conflict with the principle of the separation of powers. The court, therefore, held that administrative adjudicatory powers were not violative of the United States Constitution or Nev. Const. art. 6, § 1, separation of powers doctrines. Finally, the court concluded that the NIC appeals officer could exercise his administrative powers that were quasi-judicial in nature without violating the separation of powers doctrine.",vested rights;judicial review,"Washoe County, NV",39.9735522,-119.4871139,93 Nev. 115,,Case Law,application/pdf,,,
wlc071,wlc071.pdf,,,"Bailey v. State of Nevada, 95 Nev. 378",,1979-05-16,"When the landowner received her permit appropriating underground water, she immediately began to work on a well. Because of problems drilling a productive well, she sought and received a one-year extension to complete the work. When she did not notify the state that she was putting the water to beneficial use, the state engineer cancelled her permit and told her to reapply. The second permit allowed only a part of the water rights granted the first time. On appeal, the court reversed and remanded. The cancellation of the first permit did not violate the landowner's due process rights because she was aware of the permit's conditions when it was granted. However, the trial court should have used its equitable power to grant relief to the landowner because the Administrative Procedures Act, Nev. Rev. Stat. § 233B.125, required the state engineer to give notice of the cancellation; the landowner had worked diligently to drill a well; if she had asked for an extension, it would have been routinely granted; she followed advice from the state to re-file her application; and the second permit was limited, apparently on the basis that she had not met the deadlines in the prior permit.",appropriation;beneficial use;underground water;wells;NRS 233B.125;NRS 533.410,"Pershing County, NV",40.9349367,-119.3153014,95 Nev. 378,,Case Law,application/pdf,,,
wlc072,wlc072.pdf,,,"Hendricks v. Perkins, 98 Nev. 246",,1982-06-15,"Appellants purchased an undivided one-half interest in a parcel of land. Respondent claimed title to the other one-half interest by virtue of a quit claim deed executed to his parents. Appellants filed suit to quiet title to the land. The district court held that respondent was the owner of an undivided one-half interest in the land and the water rights appurtenant thereto. The court affirmed, first concluding that there was substantial evidence in the record to support the district court's finding that respondent owned an undivided one-half interest in the land. The court noted that respondent presented evidence as to the consideration his parents paid for the land, that his parents paid taxes on the land for over 50 years, and that respondent continued to pay taxes on the land thereafter. The court also noted that respondent and his parents exercised acts of ownership over the property for many years. Further, the court found that that the evidence supported the district court's finding that respondent owned a one-half interest in the water rights. The court noted that the deeds by which appellants' claimed title clearly conveyed only a one-half interest in the water rights.",ditches;flumes;acquired rights,"Clark County, NV",36.40932515,-115.1101231,98 Nev. 246,,Case Law,application/pdf,,,
wlc073,wlc073.pdf,,,"Gander v. Simpson, 37 Nev. 1",,1914-01,"Plaintiff sued to quiet title to an undivided one-half interest of land. The trial court found that plaintiff had obtained title to an undivided one-half interest in the land by adverse possession. On appeal, the court reversed the trial court's judgment. There was no evidence showing from what source either plaintiff's predecessor in interest or defendant's predecessor in interest obtained title. The evidence showed that plaintiff and his predecessors in interest had cultivated the 80 acres of land enclosed by a fence for more than five years prior to the institution of the suit. The court found that plaintiff had established a superior title by adverse possession to those 80 acres under Nev. Rev. Laws § 4957. The court found that neither party established adverse possession of the unenclosed land, and the court determined that it was impossible for the evidence to determine who had superior title to the unenclosed land because neither party showed the source of their predecessors' title.",adverse possession,"Lyon County, NV",39.224819,-119.250342,37 Nev. 1,,Case Law,application/pdf,,,
wlc074,wlc074.pdf,,,"Knox v. Kearney, 37 Nev. 393",,1914-06,"The landowners appropriated water from a stream to irrigate their crops. Defendants closed the landowners' headgate, cutting off the water flow from the stream. The landowners sought, and received, a temporary injunction against defendants. Defendants demurred to the complaint, claiming it did not state facts sufficient to constitute a cause of action or to warrant the continuance of the injunction. The court affirmed the orders. The court rejected defendants' claim that the allegation in the complaint, that defendants lacked authority to close the headgate, was a mere conclusion of law because the complaint also set forth the landowners' appropriation of water before passage of the state's first comprehensive water act. The complaint further alleged the diversion and application to beneficial use on or before 1890 and that no other persons had acquired any rights to the waters appropriated. The allegations stated the fundamentals of vested rights. Because the complaint set forth a prior vested right and an interference with that right, it was sufficient to withstand the demurrer and the motion to dissolve the injunction.",appropriation;rivers;ditches;streams;irrigation;vested rights,"Clark County, NV",36.40932515,-115.1101231,37 Nev. 393,,Case Law,application/pdf,,,
wlc075,wlc075.pdf,,,"Coppermines Co. v. Comins, 38 Nev. 359",,1915-04,"The property claimant maintained that six small tracts of land contained in the legal subdivisions and inside the fence of the landowner belonged to it under the agreement of sale and the deed from the landowner. Its contention was that everything inside the fence, which formerly separated the uncultivated lands belonging to the landowner from his cultivated lands, was intended to be conveyed by the deed. The landowner contested this contention. On appeal, the court determined that the record showed that the landowner refused to sign the agreement of sale or the deed until a provision objectionable to him, which tended to include other lands not described in the subdivisions, was struck from the instruments. This was sufficient to charge the attorney for the property claimant, who was representing his client in the matter, with knowledge of the existence of other lands under the control of the landowner. Such knowledge was imputed to the property claimant and showed that the deed conveyed no greater grant of land than that asserted by the landowner.",creek;acquired rights ,"White Pine County, NV",39.250214,-114.815162,38 Nev. 359,,Case Law,application/pdf,,,
wlc076,wlc076.pdf,,,"Ramelli v. Sorgi, 38 Nev. 552",,1915-06,"The predecessors of the land owner and the neighbor agreed to a division of the stream water and recorded their respective interests, three-eighths apiece, in a deed. A dispute arose as to the neighbor's use of water. The owner filed his action to declare his interest, under the deed, to enjoin the neighbor's usage of his share of water, to recover damages, and to enjoin the flow of the neighbor's wastewater onto the owner's property. The district court awarded injunctions and nominal damages to the owner. The neighbor appealed, asserting that the district court's judgment was uncertain. The court held that under Nev. Rev. Laws § 4677, the proper measurement of water was cubic feet of water per second. The fractional division from the deed and the district court's judgment was insufficient to describe the amount of water to which the owner was entitled The court remanded for a more specific determination of the amount of water owned by each party. The court granted the neighbor's petition for a rehearing on the issue of the injunction against wastewater. The fact that other parties could have been responsible for some of the wastewater did not render the injunction improper.",creek;irrigation;appropriation;waste;streams;flowing water;diversion,"Washoe County, NV",39.9735522,-119.4871139,38 Nev. 552,,Case Law,application/pdf,,,
